"Styling for content - Index","Opmaak van content - index"
"Below are links to pages that contain examples for your content. Everything can be used in CMS pages and CMS static blocks.","Op deze pagina's vind je specifieke voorbeelden om je content in te vullen op de site"
"Basic styling (titles, lists, quotes, etc)","Basis opmaak (titels, lijsten, quotes, etc)"
"Images & video (full-width image, 2 images next to eachother, etc)","Afbeeldingen & video (Paginabrede afbeelding, 2 naast elkaar, etc)"
"Interaction (faq style, show more/less)","Interactie-elementen (FAQ stijl, Toon meer/minder)"
"Layout (structure examples. 1 column, 2 column, 3 columns etc)","Layoutstructuur (voorbeelden bijv 1 kolom, 2 kolom, 3 kolommen etc)"
"Classes for showing and hiding elements on certain screenwidths","Klassen om elementen te tonen of te verbergen op bepaalde schermbreedtes"
"Specific content blocks","Specifieke contentblokken voor uw project"
"Back to overview","Terug naar overzicht"
"Base styling for content","Basis opmaak voor content"
"Images and video within content","Afbeeldingen & video allerhande"
"Interaction examples","Interactieve elementen"
"Layouts for content","Layoutvormen"
"Classes for responsive","Responsive hulpmiddelen"
"Pagewide layout structures","Paginabrede layout structuren"
